title,n_enrolled,course_type,institution,Level,subject,language,subtitles,course_effort,course_length,price_numeric
Introducción al Office 365,16470,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Computer Science,Español,Español,2–3 hours per week,7 Weeks,75.0
Creative Thinking: Techniques and Tools for Success,54787,Self-paced on your time,Imperial College London,Introductory,Humanities,English,English,2–4 hours per week,7 Weeks,49.0
Upper-Intermediate English: Business and Technology,47451,Self-paced on your time,Universitat Politècnica de Valencia,Intermediate,Language,English,English,3–5 hours per week,4 Weeks,50.0
Shakespeare's Hamlet: The Ghost,38331,Self-paced on your time,Harvard University,Introductory,Humanities,English,English,5–7 hours per week,4 Weeks,49.0
FlashDiet: Aprende a comer sano,48105,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Food & Nutrition,Español,Español,2–3 hours per week,5 Weeks,50.0
CS50's Understanding Technology,50030,Self-paced on your time,Harvard University,Introductory,Computer Science,English,English,2–6 hours per week,6 Weeks,90.0
Introduction to Aerospace Structures and Materials,37126,Self-paced on your time,Delft University of Technology,Introductory,Engineering,English,English,4–6 hours per week,8 Weeks,50.0
Visualizing Data with Python,42101,Self-paced on your time,IBM,Intermediate,Data Analysis & Statistics,English,English,2–4 hours per week,5 Weeks,39.0
Success: Practical Thinking Skills,24414,Self-paced on your time,The Hong Kong Polytechnic University,Introductory,Philosophy & Ethics,English,English,4–6 hours per week,4 Weeks,50.0
English for Doing Business in Asia – Speaking,68422,Self-paced on your time,The Hong Kong University of Science and Technology,Introductory,Humanities,English,English,3–4 hours per week,7 Weeks,60.0
Nutrition and Health: Macronutrients and Overnutrition,208582,Self-paced on your time,Wageningen University & Research,Introductory,Biology & Life Sciences,English,English,6–8 hours per week,9 Weeks,99.0
"Contemporary China: The People's Republic, Taiwan, and Hong Kong",66771,Self-paced on your time,Harvard University,Introductory,History,English,"English, 中文",1–3 hours per week,15 Weeks,139.0
Introduction to Clinical Psychology,57234,Self-paced on your time,The University of Queensland,Introductory,Humanities,English,English,1–2 hours per week,7 Weeks,99.0
Modern Masterpieces of World Literature,48049,Self-paced on your time,Harvard University,Introductory,Literature,English,English,3–6 hours per week,8 Weeks,99.0
"Citizen Politics in America: Public Opinion, Elections, Interest Groups, and the Media",24259,Self-paced on your time,Harvard University,Introductory,Social Sciences,English,English,2–4 hours per week,4 Weeks,49.0
Applied Scrum for Agile Project Management,55293,Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",Advanced,Engineering,English,English,2–3 hours per week,4 Weeks,199.0
